lucide_concept,lucide_imports,importing_files,component_files,docs_files,suggested_hugeicons,suggested_import_symbol,suggested_subpath_import,alternative_1,alternative_2,confidence,review_status,preferred_alternative,notes,locations
Moon,Moon,1,0,1,moon,MoonIcon,@hugeicons/core-free-icons/MoonIcon,moon-01,moon-02,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/components/layout/app-shell.tsx
OctagonX,OctagonX,1,1,0,octagon-x,OctagonXIcon,@hugeicons/core-free-icons/OctagonXIcon,octagon-alert,archive-x,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/toast.tsx
Package,Package,1,0,1,package,PackageIcon,@hugeicons/core-free-icons/PackageIcon,package-01,package-delivered-01,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/sidebar/index.tsx
PanelLeftClose,PanelLeftClose,1,1,0,panel-left-close,PanelLeftCloseIcon,@hugeicons/core-free-icons/PanelLeftCloseIcon,panel-bottom-close,panel-left,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/sidebar.tsx
PanelLeftOpen,PanelLeftOpen,1,1,0,panel-left-open,PanelLeftOpenIcon,@hugeicons/core-free-icons/PanelLeftOpenIcon,panel-bottom-open,panel-left,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/sidebar.tsx
Paperclip,Paperclip,1,1,0,paperclip,PaperclipIcon,@hugeicons/core-free-icons/PaperclipIcon,attachment,attachment-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
PenSquare,PenSquare,1,1,0,square-pen,SquarePenIcon,@hugeicons/core-free-icons/SquarePenIcon,dashboard-square-edit,pencil-edit-01,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/inline-edit.tsx
PhoneForwarded,PhoneForwarded,1,1,0,phone-forwarded,PhoneForwardedIcon,@hugeicons/core-free-icons/PhoneForwardedIcon,phone,phone-call,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
RotateCcw,RotateCcw,1,0,1,rotate-ccw,RotateCcwIcon,@hugeicons/core-free-icons/RotateCcwIcon,rotate-ccw-key,rotate-ccw-square,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/marker/index.tsx
SearchX,SearchX,1,1,0,search-x,SearchXIcon,@hugeicons/core-free-icons/SearchXIcon,search-remove,search-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/data-table/data-table.tsx
Signature,Signature,1,1,0,signature,SignatureIcon,@hugeicons/core-free-icons/SignatureIcon,contracts,agreement-03,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
Smartphone,Smartphone,1,1,0,smartphone,SmartphoneIcon,@hugeicons/core-free-icons/SmartphoneIcon,smartphone-charging,smartphone-lost-wifi,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/activity-feed.tsx
Sparkles,Sparkles,1,0,1,sparkles,SparklesIcon,@hugeicons/core-free-icons/SparklesIcon,ai-sparkles,wand-sparkles,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/alert/index.tsx
SquareUser,SquareUser,1,1,0,user-square,UserSquareIcon,@hugeicons/core-free-icons/UserSquareIcon,square-user-round,login-square-01,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
StickyNote,StickyNote,1,1,0,sticky-note-01,StickyNote01Icon,@hugeicons/core-free-icons/StickyNote01Icon,sticky-note-02,sticky-note-03,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
Sun,Sun,1,0,1,sun-01,Sun01Icon,@hugeicons/core-free-icons/Sun01Icon,sun-cloud-01,sun-cloud-angled-rain-01,medium,,,Curated semantic match; verify glyph,apps/docs/src/components/layout/app-shell.tsx
TrendingDown,TrendingDown,1,1,0,trending-down,TrendingDownIcon,@hugeicons/core-free-icons/TrendingDownIcon,trending-up-down,trending-up,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/metric-card.tsx
TrendingUp,TrendingUp,1,1,0,trending-up,TrendingUpIcon,@hugeicons/core-free-icons/TrendingUpIcon,trending-up-down,bitcoin-up-02,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/metric-card.tsx
TriangleAlert,TriangleAlert,1,1,0,triangle-alert,TriangleAlertIcon,@hugeicons/core-free-icons/TriangleAlertIcon,alert-02,alert-01,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/toast.tsx
Underline,Underline,1,0,1,underline,UnderlineIcon,@hugeicons/core-free-icons/UnderlineIcon,text-underline,baseline,high,,,Exact catalogue-name match; verify glyph,apps/docs/src/pages/toggle-group/index.tsx
WandSparkles,WandSparkles,1,1,0,wand-sparkles,WandSparklesIcon,@hugeicons/core-free-icons/WandSparklesIcon,wand,ai-sparkles,high,,,Exact catalogue-name match; verify glyph,packages/ui/src/components/reply-box/reply-box-actions.ts
Wrench,Wrench,1,0,1,wrench-01,Wrench01Icon,@hugeicons/core-free-icons/Wrench01Icon,wrench-02,repair,medium,,,Curated semantic match; verify glyph,apps/docs/src/pages/sidebar/index.tsx
XCircle,XCircle,1,1,0,circle-x,CircleXIcon,@hugeicons/core-free-icons/CircleXIcon,message-circle-x,cancel-circle,medium,,,Curated semantic match; verify glyph,packages/ui/src/components/alert.tsx
,,,,,,,,,,,,,,
